Number,Title,Abstract,Keywords
70,Porosity prediction: Supervised-learning of thermal history for direct laser deposition,"The objective of this study is to investigate the relationship between the melt pool characteristics and the defect occurrence in an as-built additive manufacturing part. One of the major detrimental microstructure properties associated with additive manufacturing (AM) is porosity within final parts. State-of-the-art porosity detection methods focus primarily on post-manufacturing approaches that are susceptible to high cost of process, longer process time, and are incapable of characterizing pores during fabrication. A real-time porosity prediction method is developed using morphological characteristics of the melt pool boundary (i.e., features obtained via functional principal component analysis (FPCA)). A thermal monitoring system is used to capture the time-varying melt pool signal, which are labeled as either pores or normal melt pools by X-ray tomography. Supervised learning methods are utilized to identify the patterns of melt pool images and build a black-box model for the probability distribution of class labels (namely, porosity) based on data characteristics of predictors (e.g., melt pool characteristics). The resultant model does not depend on specific design of specimens with varying material properties; and can be effectively developed as long as thermal-porosity data can be obtained. In the current study, multiple supervised machine learning approaches are used to classify melt pools to predict porosity in a part. Two different accuracy measures are used and numerical experiments show that among the classification approaches used (i.e., Decision Tree (DT), K-Nearest Neighbor (KNN), Support Vector Machine (SVM), Linear Discriminant Analysis (LDA), and Quadratic Discriminant Analysis (QDA)), KNN results in the highest rate of accurately classifying melt pools (98.44%). However, DT results in the lowest rate for incorrectly identifying normal melt pools as pores (0.03%). A comparative study is conducted that compares the performance of supervised learning methods leveraging the proposed morphological model and simple metrics of the melt pool. Numerical experiments show that the morphological model combined with supervised learning techniques vastly outperform the simple melt pool metrics combined with supervised learning techniques (approximately 250% better performance for correctly predicting abnormal melt pools). Our approach may potentially be applied to other AM processes that share similar energy-material interactions (e.g., powder bed fusion, electron beam melting).",
71,Layer-wise modeling and anomaly detection for laser-based additive manufacturing,"Additive manufacturing (AM) is a novel fabrication technique capable of producing highly complex parts. Nevertheless, a major challenge is the quality assurance of the AM fabricated parts. While there are several ways of approaching this problem, how to develop informative process signatures to detect part anomalies for quality control is still an open question. The objective of this study is to build a new layer-wise process signature model to characterize the thermal-defect relationship. Based on melt pool images, we propose novel layer-wise key process signatures, which are calculated using multilinear principal component analysis (MPCA) and are directly correlated with the layer-wise quality of the part. The resultant layer-wise quality features can be used to predict the overall defect distribution of a fabricated layer during the build. The proposed model is validated through a case study based on a direct laser deposition experiment, where the layer-wise quality of the part is predicted on the fly. The accuracy of prediction is calculated using three measures (i.e., recall, precision, and F-score), showing reasonable success of the proposed methodology in predicting layer-wise quality. The proposed quality prediction methodology enables online process correction to eliminate anomalies and to ultimately improve the quality of the fabricated parts.",
72,Heterogeneous sensing and scientific machine learning for quality assurance in laser powder bed fusion–a single-track study,"Laser Powder Bed Fusion (LPBF) is the predominant metal additive manufacturing technique that benefits from a significant body of academic study and industrial investment given its ability to create complex geometry parts. Despite LPBF’s widespread use, there still exists a need for process monitoring to ensure reliable part production and reduce post-build quality assessments. Towards this end, we develop and evaluate machine learning-based predictive models using height map-derived quality metrics for single tracks and the accompanying pyrometer and high-speed video camera data collected under a wide range of laser power and laser velocity settings. We extract physically intuitive low-level features representative of the meltpool dynamics from these sensing modalities and explore how these vary with the linear energy density. We find our Sequential Decision Analysis Neural Network (SeDANN) model – a scientific machine learning model that incorporates physical process insights – outperforms other purely data-driven black box models in both accuracy and speed. The general approach to data curation and adaptable nature of SeDANN’s scientifically informed architecture should benefit LPBF systems with an evolving suite of sensing modalities and post-build quality measurements.",
73, Defect classification of laser metal deposition using logistic regression and artificial neural networks for pattern recognition,"Detecting laser metal deposition (LMD) defects is a key element of evaluating the probability of failure of the produced part. Acoustic emission (AE) is an effective technique in LMD defect detection. This work presents a systematic experimental investigation of using AE technique for detecting and classifying different defects in LMD. The defects generated during LMD simulate AE sources on deposited material while the AE sensor was mounted on the substrate to capture AE signals. An experiment was conducted to investigate the ability of AE to detect and identify defects generated during LMD using a logistic regression (LM) model and an artificial neural network (ANN). AE features, such as peak amplitude, rise time, duration, energy, and number of counts along with statistical features were extracted and analyzed. Additionally, frequency analysis using fast Fourier transformation was conducted on the AE signal. The results show that AE has considerable potential in LMD monitoring for assessing the overall deposition quality and identifying defects that can significantly reduce the strength and reliability of deposited material, and consequently, increase the risk of a component’s failure.",
74,Metal additive manufacturing parts inspection using convolutional neural network,"Metal additive manufacturing (AM) is gaining increasing attention from academia and industry due to its unique advantages compared to the traditional manufacturing process. Parts quality inspection is playing a crucial role in the AM industry, which can be adopted for product improvement. However, the traditional inspection process has relied on manual recognition, which could suffer from low efficiency and potential bias. This study presented a convolutional neural network (CNN) approach toward robust AM quality inspection, such as good quality, crack, gas porosity, and lack of fusion. To obtain the appropriate model, experiments were performed on a series of architectures. Moreover, data augmentation was adopted to deal with data scarcity. L2 regularization (weight decay) and dropout were applied to avoid overfitting. The impact of each strategy was evaluated. The final CNN model achieved an accuracy of 92.1%, and it took 8.01 milliseconds to recognize one image. The CNN model presented here can help in automatic defect recognition in the AM industry.",
75,In-process monitoring of porosity during laser additive manufacturing process,"This paper describes a deep-learning-based method for porosity monitoring in laser additive manufacturing process. A high-speed digital camera was mounted coaxially to the process laser beam for in-process sensing of melt-pool data, and convolutional neural network models were designed to learn melt-pool features to predict the porosity attributes in deposited specimens during laser additive manufacturing. With the image processing tools developed in this paper, the extraction of porosity information from raw quality inspection data, such as cross-section images and tomography data sets, can be automated. The CNN models with a compact architecture, part of whose hyperparameters were selected through cross-validation analysis, achieved a classification accuracy of 91.2% for porosity occurrence detection in the direct laser deposition of sponge Titanium powders and presented predictive capacity for micro pores below 100 μm. For local volume porosity prediction, the model also achieved a root mean square error of 1.32% and exhibited high fidelity for both high porosity and low porosity specimens.",
76,A physics-driven deep learning model for process-porosity causal relationship and porosity prediction with interpretability in laser metal deposition,"Porosity produced in laser metal deposition hampers its application due to the absence of an effective prediction method. Measured thermal images of the melt pool provide a unique opportunity for porosity analytics. Furthermore, a physical model may provide complementary rich data that cannot be measured otherwise. How to leverage both types of data to predict porosity is very challenging. This paper presents a physics-driven deep learning model to predict porosity by integrating both measured and predicted data of the melt pool. The model fidelity is validated with the predicted pore occurrence and size with enhanced interpretability of Ti–6Al–4V thin-wall structures.",
77,Deep Learning for Distortion Prediction in Laser-Based Additive Manufacturing using Big Data,"Laser-Based Additive Manufacturing (LBAM) is a fabrication process that is a key aspect of Industry 4.0, which aims to employ many sensors for continuous process control. One current challenge in LBAM is the geometric inaccuracy of fabricated parts. To increase accuracy, accurate predictions of distortion are needed. Here we develop a novel Deep Learning approach that accurately predicts distortion well within LBAM tolerance limits by considering the local heat transfer for pointwise distortion prediction. Our Deep Learning approach not only gives highly accurate predictions but also fits into the Industry 4.0 framework of analyzing big data with many sensors.",
78,Deep learning-based data fusion method for in situ porosity detection in laser-based additive manufacturing,"Laser-based additive manufacturing (LBAM) provides unrivalled design freedom with the ability to manufacture complicated parts for a wide range of engineering applications. Melt pool is one of the most important signatures in LBAM and is indicative of process anomalies and part defects. High-speed thermal images of the melt pool captured during LBAM make it possible for in situ melt pool monitoring and porosity prediction. This paper aims to broaden current knowledge of the underlying relationship between process and porosity in LBAM and provide new possibilities for efficient and accurate porosity prediction. We present a deep learning-based data fusion method to predict porosity in LBAM parts by leveraging the measured melt pool thermal history and two newly created deep learning neural networks. A PyroNet, based on Convolutional Neural Networks, is developed to correlate in-process pyrometry images with layer-wise porosity; an IRNet, based on Long-term Recurrent Convolutional Networks, is developed to correlate sequential thermal images from an infrared camera with layer-wise porosity. Predictions from PyroNet and IRNet are fused at the decision-level to obtain a more accurate prediction of layer-wise porosity. The model fidelity is validated with LBAM Ti–6Al–4V thin-wall structure. This is the first work that manages to fuse pyrometer data and infrared camera data for metal additive manufacturing (AM). The case study results based on benchmark datasets show that our method can achieve high accuracy with relatively high efficiency, demonstrating the applicability of the method for in situ porosity detection in LBAM.",
79,In situ monitoring of selective laser melting of zinc powder via infrared imaging of the process plume,"Despite continuous technological improvements in metal additive manufacturing (AM) systems, process stability is still affected by several possible sources of defects especially in the presence of challenging materials. Thus, both the research community and the major AM system developers have focused an increasing attention on in situ sensing and monitoring tools in the last years. However, there is still a lack of statistical methods to automatically detect the onset of a defect and signal an alarm during the part's layer-wise production. This study contributes to this framework with two levels of novelty. First, it presents an in situ monitoring method that integrates the acquisition of infrared images with a data mining approach for feature extraction and a statistical process monitoring technique to design a data-driven and automated alarm rule. Second, the method is aimed at monitoring powder bed fusion processes for difficult-to-process materials like zinc and its alloys, which impose several challenges to the process stability and quality because of their low melting and boiling points. To this aim, the proposed approach analyzes the byproducts generated by the interaction between the energy source and the material. In particular, it detects unstable behaviors by analyzing the salient properties of the process plume to detect unstable melting conditions. This case study entails an SLM process on zinc powder, where different sets of process parameters were tested leading either to in-control or out-of-control quality conditions. A comparison analysis highlights the effectiveness of plume-based stability monitoring.",
80,"Extraction and evaluation of melt pool, plume and spatter information for powder-bed fusion AM process monitoring","With the continuous development of additive manufacturing technique, the issue on built quality has caught increasing attentions. To improve the quality of built parts, the process monitoring and control has been emphasized as a promising solution. Despite a large number of studies on the development of sensors and instrumentations, the investigation on statistical analysis, modelling and automatic anomalies detection is still at an infant stage. To advance the related research, the intelligent classification methods, support vector machines (SVM) and convolutional neural network (CNN), were proposed for quality level identification in this work. A vision system with high speed camera was used for process images acquisition. The features of different objects including melt pool, plume and spatter were extracted based on the AM process understanding. The corresponding feature vectors were used as the input for the SVM classification. The results indicated the information from different objects is sensitive to different types of quality anomalies. Moreover, the combination of features from these three objects can significantly improve the classification accuracy to 90.1%. Additionally, the comparison between SVM and CNN was also conducted, the high accuracy of 92.7% for the CNN model demonstrated that it is a promising method for quality level identification by using the vision system.",
81, Application of supervised machine learning for defect detection during metallic powder bed fusion additive manufacturing using high resolution imaging,"Process monitoring in additive manufacturing (AM) is a crucial component in the mission of broadening AM industrialization. However, conventional part evaluation and qualification techniques, such as computed tomography (CT), can only be utilized after the build is complete, and thus eliminate any potential to correct defects during the build process. In contrast to post-build CT, in situ defect detection based on in situ sensing, such as layerwise visual inspection, enables the potential for in-process re-melting and correction of detected defects and thus facilitates in-process part qualification. This paper describes the development and implementation of such an in situ defect detection strategy for powder bed fusion (PBF) AM using supervised machine learning. During the build process, multiple images were collected at each build layer using a high resolution digital single-lens reflex (DSLR) camera. For each neighborhood in the resulting layerwise image stack, multi-dimensional visual features were extracted and evaluated using binary classification techniques, i.e. a linear support vector machine (SVM). Through binary classification, neighborhoods are then categorized as either a flaw, i.e. an undesirable interruption in the typical structure of the material, or a nominal build condition. Ground truth labels, i.e. the true location of flaws and nominal build areas, which are needed to train the binary classifiers, were obtained from post-build high-resolution 3D CT scan data. In CT scans, discontinuities, e.g. incomplete fusion, porosity, cracks, or inclusions, were identified using automated analysis tools or manual inspection. The xyz locations of the CT data were transferred into the layerwise image domain using an affine transformation, which was estimated using reference points embedded in the part. After the classifier had been properly trained, in situ defect detection accuracies greater than 80% were demonstrated during cross-validation experiments.",
82, An online surface defects detection system for AWAM based on deep learning,"Defects detecting layer by layer in arc welding based additive manufacturing (AWAM) is a big challenge as it affects the successive layer quality of the products. Most of the work on layer quality defection were focused on 3D profile measurement and X-ray spectroscopy method but it is inefficient, expensive with poor adaptability. In this work, an online intelligent surface defects detection system for AWAM was developed through deep learning algorithm and support vector machine method. To achieve a reliable surface feature of the welding beads, a vision sensor was used to get the image of the shaped surface synchronously. The system was trained offline and online to acquire knowledge of the welding beads which were classified into five patterns as normal, pore, hump, depression and undercut. An defection test result showed 95.29% accuracy. The system was verified to be practical with high accuracy and efficiency for the surface defects.",
83,Adaptive control of deposited height in GMAW-based layer additive manufacturing,"A passive vision sensor system has been developed to monitor the nozzle to the top surface distance (NTSD) in layer additive manufacturing (LAM) using gas metal arc welding (GMAW). The deviations in the NTSD are compensated by the movement of the working flat, and the adjustment of the deposition rate on next deposition layer. After simplification of the controlled process into a linear system, an adaptive control system has been designed to keep the NTSD constant. The effectiveness of the controller is evaluated through deposition of single-bead multi-layer walls, and the experimental results confirm that the process stability can be improved when applying the developed controller.",
84,Closed-loop control of variable layer width for thin- walled parts in wire and arc additive manufacturing,"An intelligent single-neuron self-adjusting controller is proposed for variable layer width control in wire and arc additive manufacturing (WAAM). The travel speed is selected as the input control variable and the layer width is chosen as the output. The performance of the controller is validated by the disturbance of deposition current, inter-layer temperature, and given layer width. It is also evaluated through deposition of a 13-layered wall with variable layer width. The proposed controller is effective for increasing the process stability when the expected layer width ranges from 6 to 9 mm.",
85,"Extraction and evaluation of melt pool, plume and spatter information for powder-bed fusion AM process monitoring","With the continuous development of additive manufacturing technique, the issue on built quality has caught increasing attentions. To improve the quality of built parts, the process monitoring and control has been emphasized as a promising solution. Despite a large number of studies on the development of sensors and instrumentations, the investigation on statistical analysis, modelling and automatic anomalies detection is still at an infant stage. To advance the related research, the intelligent classification methods, support vector machines (SVM) and convolutional neural network (CNN), were proposed for quality level identification in this work. A vision system with high speed camera was used for process images acquisition. The features of different objects including melt pool, plume and spatter were extracted based on the AM process understanding. The corresponding feature vectors were used as the input for the SVM classification. The results indicated the information from different objects is sensitive to different types of quality anomalies. Moreover, the combination of features from these three objects can significantly improve the classification accuracy to 90.1%. Additionally, the comparison between SVM and CNN was also conducted, the high accuracy of 92.7% for the CNN model demonstrated that it is a promising method for quality level identification by using the vision system.",
86,Sensor-based build condition monitoring in laser powder bed fusion additive manufacturing process using a spectral graph theoretic approach,"The goal of this work is to monitor the laser powder bed fusion (LPBF) process using an array of sensors so that a record may be made of those temporal and spatial build locations where there is a high probability of defect formation. In pursuit of this goal, a commercial LPBF machine at the National Institute of Standards and Technology (NIST) was integrated with three types of sensors, namely, a photodetector, high-speed visible camera, and short wave infrared (SWIR) thermal camera with the following objectives: (1) to develop and apply a spectral graph theoretic approach to monitor the LPBF build condition from the data acquired by the three sensors; (2) to compare results from the three different sensors in terms of their statistical fidelity in distinguishing between different build conditions. The first objective will lead to early identification of incipient defects from in-process sensor data. The second objective will ascertain the monitoring fidelity tradeoff involved in replacing an expensive sensor, such as a thermal camera, with a relatively inexpensive, low resolution sensor, e.g., a photodetector. As a first-step toward detection of defects and process irregularities that occur in practical LPBF scenarios, this work focuses on capturing and differentiating the distinctive thermal signatures that manifest in parts with overhang features. Overhang features can significantly decrease the ability of laser heat to diffuse from the heat source. This constrained heat flux may lead to issues such as poor surface finish, distortion, and microstructure inhomogeneity. In this work, experimental sensor data are acquired during LPBF of a simple test part having an overhang angle of 40.5 deg. Extracting and detecting the difference in sensor signatures for such a simple case is the first-step toward in situ defect detection in additive manufacturing (AM). The proposed approach uses the Eigen spectrum of the spectral graph Laplacian matrix as a derived signature from the three different sensors to discriminate the thermal history of overhang features from that of the bulk areas of the part. The statistical accuracy for isolating the thermal patterns belonging to bulk and overhang features in terms of the F-score is as follows: (a) F-score of 95% from the SWIR thermal camera signatures; (b) 83% with the high-speed visible camera; (c) 79% with the photodetector. In comparison, conventional signal analysis techniques—e.g., neural networks, support vector machines, linear discriminant analysis were evaluated with F-score in the range of 40–60%.",
87,A deep neural network for classification of melt-pool images in metal additive manufacturing,"By applying a deep neural network to selective laser melting, we studied a classification model of melt-pool images with respect to 6 laser power labels. Laser power influenced to form pores or cracks determining the part quality and was positively-linearly dependent to the density of the part. Using the neural network of which the number of nodes is dropped with increasing the layer number achieved satisfactory inference when melt-pool images had blurred edges. The proposed neural network showed the classification failure rate under 1.1% for 13,200 test images and was more effective to monitor melt-pool images because it simultaneously handled various shapes, comparing with a simple calculation such as the sum of pixel intensity in melt-pool images. The classification model could be utilized to infer the location to cause the unexpected alteration of microstructures or separate the defective products non-destructively.",
88," From in-situ monitoring toward high-throughput process control: cost-driven decision-making framework for laser-based additive manufacturing,","Additive manufactured (AM) parts are subject to low repeatability compared to their traditional counterparts. The complex Process-Structure-Property relationship that governs the laser-based AM processes calls for advanced analytics approaches for quality control. Tremendous efforts have been dedicated to the in-situ monitoring of AM processes by leveraging the thermal history during fabrication. Melt pool image is regarded as one of the most informative process signatures for real-time porosity detection. Attempting to control/correct all microstructure defects during the AM fabrication may significantly reduce the process throughput, which has been a bottleneck of the AM technology for its wider industrial adoption. Without distinguishing different types of defects from one another, and without formally characterizing the cost/impact of microstructural defects on part property, an efficient in-process control strategy cannot be obtained. In this paper, a cost-driven decision-making framework is proposed to formulate costs of the spatial distribution of microstructural defects and the corresponding control actions, based on in-situ melt pool images. A case study based on thin wall fabrication using a Laser Engineered Net Shaping process is used to illustrate the effectiveness in both classification accuracy and misclassification cost. This work is expected to lay a theoretical foundation for the development of an efficient in-process control strategy, which aims to improve the mechanical properties of fabricated part while maintaining high process throughput.",
89,Detecting cyber-physical attacks in CyberManufacturing systems with machine learning methods,"CyberManufacturing system (CMS) is a vision for future manufacturing systems. The concept delineates a vision of advanced manufacturing system integrated with technologies such as Internet of Things, Cloud Computing, Sensors Network and Machine Learning. As a result, cyber-attacks such as Stuxnet attack will increase along with growing simultaneous connectivity. Now, cyber-physical attacks are new and unique risks to CMSs and modern cyber security countermeasure is not enough. To learn this new vulnerability, the cyber-physical attacks is defined via a taxonomy under the vision of CMS. Machine learning on physical data is studied for detecting cyber-physical attacks. Two examples were developed with simulation and experiments: 3D printing malicious attack and CNC milling machine malicious attack. By implementing machine learning methods in physical data, the anomaly detection algorithm reached 96.1% accuracy in detecting cyber-physical attacks in 3D printing process; random forest algorithm reached on average 91.1% accuracy in detecting cyber-physical attacks in CNC milling process.",
90,High cycle fatigue life prediction of laser additive manufactured stainless steel: a machine learning approach,"Variations in the high cycle fatigue response of laser powder bed fusion materials can be caused by the choice of processing and post-processing strategies. The numerous influencing factors arising from the process demand an effective and unified approach to fatigue property assessment. This work examines the use of a neuro-fuzzy-based machine learning method for predicting the high cycle fatigue life of laser powder bed fusion stainless steel 316L. A dataset, consisting of fatigue life data for samples subjected to varying processing conditions (laser power, scan speed and layer thickness), post-processing treatments (annealing and hot isostatic pressing) and cyclic stresses, was constructed for simulating a complex nonlinear input-output environment. The associated fracture mechanisms, including the modes of crack initiation and deformation, were characterised. Two models, by employing the processing/post-processing parameters and the static tensile properties respectively as the inputs, were developed from the training data. Despite the diverse fatigue and fracture properties, the models demonstrated good prediction accuracy when checked against the test data, and the computationally-derived fuzzy rules agree well with understanding of the fracture mechanisms. Direct application of the model to literature results, however, yielded a range of prediction accuracies because of the variability in the reported data. Retraining the model by incorporating the literature results into the dataset led to improved modelling performance.",
91,Modelling of direct metal laser sintering of EOS DM20 bronze using neural networks and genetic algorithms,"An attempt was made to predict the density and microhardness of a component produced by Laser Sintering of EOS DM20 Bronze material for a given set of process parameters. Neural networks were used for process-based-modelling, and results compared with a Taguchi analysis. Samples were produced using a powder-bed type ALM (Additive Layer Manufacturing)-system, with laser power, scan speed and hatch distance as the input parameters, with values equally spaced according to a factorial design of experiments. Optical Microscopy was used to measure cross-sectional porosity of samples; Micro-indentation to measure the corresponding Vickers’ hardness. Two different designs of neural networks were used-Counter Propagation (CPNN) and Feed-Forward Back-Propagation (BPNN) and their prediction capabilities were compared. For BPNN network, a Genetic Algorithm (GA) was later applied to enhance the prediction accuracy by altering its topology. Using neural network toolbox in MATLAB, BPNN was trained using 12 training algorithms. The most effective MATLAB training algorithm and the effect of GA-based optimization on the prediction capability of neural networks were both identified.",
92,"Prediction of porosity in metal-based additive manufacturing using spatial Gaussian process models,","Additive manufacturing (AM) is a set of emerging technologies that can produce physical objects with complex geometrical shapes directly from a digital model. With many unique capabilities, such as design freedom, it has recently gained increasing attention from researchers, practitioners, and public media. However, achieving the full potential of AM is hampered by many challenges, including the lack of predictive models that correlate processing parameters with the properties of the processed part. We develop a Gaussian process-based predictive model for the learning and prediction of the porosity in metallic parts produced using selective laser melting (SLM – a laser-based AM process). More specifically, a spatial Gaussian process regression model is first developed to model part porosity as a function of SLM process parameters. Next, a Bayesian inference framework is used to estimate the statistical model parameters, and the porosity of the part at any given setting is predicted using the Kriging method. A case study is conducted to validate this predictive framework through predicting the porosity of 17-4 PH stainless steel manufacturing on a ProX 100 selective laser melting system.",
93, Gaussian process- based surrogate modeling framework for process planning in laser powder-bed fusion additive manufacturing of 316L stainless steel,"Laser Powder-Bed Fusion (L-PBF) metal-based additive manufacturing (AM) is complex and not fully understood. Successful processing for one material, might not necessarily apply to a different material. This paper describes a workflow process that aims at creating a material data sheet standard that describes regimes where the process can be expected to be robust. The procedure consists of building a Gaussian process-based surrogate model of the L-PBF process that predicts melt pool depth in single-track experiments given a laser power, scan speed, and laser beam size combination. The predictions are then mapped onto a power versus scan speed diagram delimiting the conduction from the keyhole melting controlled regimes. This statistical framework is shown to be robust even for cases where experimental training data might be suboptimal in quality, if appropriate physics-based filters are applied. Additionally, it is demonstrated that a high-fidelity simulation model of L-PBF can equally be successfully used for building a surrogate model, which is beneficial since simulations are getting more efficient and are more practical to study the response of different materials, than to re-tool an AM machine for new material powder.",
94,Machine learning enabled powder spreading process map for metal additive manufacturing (AM),"The metal powder-bed AM process involves two main steps: the spreading of powder layer and selective fusing or binding the spread layer. Most AM research is focused on powder fusion. Powder spreading is more rarely studied but is of significant importance for considering the quality of the final part and total build time. It is thus essential to understand how to modify the spread parameters such as spreader speed, to generate layers with desirable roughness and porosity. A computational modeling framework employing Discrete Element Method (DEM) is applied to simulate the spreading process, which is difficult to study experimentally, of Ti-6Al-4V powder onto smooth substrates. Since the DEM simulations are computationally expensive, machine learning was employed to interpolate between the highly non-linear results obtained by the running a few DEM simulations. Eventually, a spreading process map is generated to determine which spreader parameters can achieve the desired surface roughness and spread speed. This eventually saves the total time for printing and reduces the cost of build.",
95,"Simple method to construct process maps for additive manufacturing using a support vector machine,","We propose a simple method to construct a process map for additive manufacturing using a support vector machine. By observing the surface of the built parts and classifying them into two classes (good or bad), this method enables a process map to be constructed in order to predict a process condition that is effective at fabricating a part with low pore density. This proposed method is demonstrated in a biomedical CoCr alloy system. We show that the proposed method is effective at reducing the number of experiments necessary to tailor an optimized process condition. This study also shows that the value of a decision function in a support vector machine has a physical meaning (at least in the proposed method) and is a semi-quantitative guideline for porosity density of parts fabricated by additive manufacturing.",
96,"An example of machine learning applied in additive manufacturing, 2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)","Artificial Intelligence has become ubiquitous in many application sectors nowadays. One field, machine learning, has proved to be promising for industries as it can solve complex problems thanks to various methods and algorithms. The present article is an example of machine learning with EBM, a recent additive manufacturing technology. Several algorithms are tested onto the manufacturing of a part in order to check which results can extrapolate at the best the deformation risks vs the quality of the part to build. In this example, a few parameters of support structures are identified and are varied to observe the algorithms validity.",
97,"Measurement of environmental aspect of 3-D printing process using soft computing methods,","For improving the environmental performance of the manufacturing industry across the globe, 3-D printing technology should be increasingly adopted as a manufacturing procedure. It is because this technology uses the polymer PLA (Polyactic acid) as a material, which is biodegradable, and saves fuel and reduces waste when fabricating prototypes. In addition, the technology can be located near to industries and fabricates raw material itself, resulting in reduction of transport costs and carbon emission. However, due to its high production cost, 3-D printing technology is not yet being adopted globally. One way of reducing the production cost and improving environmental performance is to formulate models that can be used to operate 3-D printing technology in an efficient way. Therefore, this paper aims to deploy the soft computing methods such as genetic programming (GP), support vector regression and artificial neural network in formulating the laser power-based-open porosity models. These methods are applied on the selective laser sintering (a 3-D printing process) process data. It is found that GP evolves the best model that is able to predict open porosity satisfactorily based on given values of laser power. The laser power-based-open porosity model formulated can assist decision makers in operating the SLS process in an effective and efficient way, thus increasing its viability for being adopted as a manufacturing procedure and paving the way for a sustainable environment across the globe.",
98,A new computational intelligence approach in formulation of functional relationship of open porosity of the additive manufacturing process,"An additive manufacturing process of selective laser sintering (SLS) builds components of complex 3D shapes directly from metal powder. Past studies reveal that the properties of an SLS-fabricated prototype such as porosity, surface roughness, waviness, compressive strength, tensile strength, wear strength, and dimensional accuracy depend on the parameter settings of the SLS setup and can be improved by appropriate adjustment. In this context, the computational intelligence (CI) approach of multi-gene genetic programming (MGGP) can be used to formulate the model for understanding the process behavior. MGGP develops the model structure and its coefficients automatically. Despite being widely applied, MGGP generates models that may not give satisfactory performance on test data. The underlying reason is the inappropriate formulation procedure of the multi-gene model and the difficulty in model selection. Therefore, the present work proposes a new CI approach (ensemble-based MGGP (EN-MGGP)) that makes use of statistical and classification strategies for improving its generalization. The EN-MGGP approach is applied to the open porosity data obtained from the experiments conducted on an SLS machine, and its performance is compared to that of the standardized MGGP. The proposed EN-MGGP model outperforms the standardized model and is proven to capture the dynamics of the SLS process by unveiling dominant input process parameters and the hidden non-linear relationships.",
99,Enhanced beads overlapping model for wire and arc additive manufacturing of multi-layer multi-bead metallic parts,"Wire and arc additive manufacturing (WAAM) is a competitive technology for fabricating metallic parts with complex structure and geometry. It enables the fabrication of multi-layer multi-bead (MLMB) parts. The basis of planning the deposition paths is the beads overlapping model (BOM). The existing overlapping models consider only the geometric area of adjacent beads, but ignore the spreading of the melted weld beads. The objective of the research was to develop an enhanced BOM (E.BOM) for WAAM, which takes the spreading of the weld beads into consideration. A deposited bead spreads to the already deposited neighboring bead and as a consequence, its center point deviates from the center point of the fed (to be melted) wire. Experiments were designed to explore the relationships between the geometries of the beads, and the offset distance between the center of a weld bead and the center of the fed wire. An artificial neural network was used to predict the offset distance of a certain weld bead based on the results of the experiments. In addition, a reasoning algorithm was implemented to calculate the optimal distance between the centers of adjacent deposition paths in order to achieve a planned center distance between adjacent beads. This enables the control of the actual center distance of the adjacent beads according to an expected value. The E.BOM has been tested by validation experiments. On the one hand, it improves the surface flatness of layers of MLMB parts produced by WAAM. On the other hand, it prevents formation of defects inside the parts.",
100,The prediction of the building precision in the laser engineered net shaping process using advanced networks,"Laser Engineered Net Shaping (LENS) is an advanced manufacturing technology, but it is difficult to control the depositing height (DH) of the prototype because there are many technology parameters influencing the forming process. The effect of main parameters (laser power, scanning speed and powder feeding rate) on the DH of single track is firstly analyzed, and then it shows that there is the complex nonlinear intrinsic relationship between them. In order to predict the DH, the back propagation (BP) based network improved with Adaptive learning rate and Momentum coefficient (AM) algorithm, and the least square support vector machine (LS-SVM) network are both adopted. The mapping relationship between above parameters and the DH is constructed according to training samples collected by LENS experiments, and then their generalization ability, function-approximating ability and real-time are contrastively investigated. The results show that although the predicted result by the BP-AM approximates the experimental result, above performance index of the LS-SVM are better than those of the BP-AM. Finally, high-definition thin-walled parts of AISI316L are successfully fabricated. Hence, the LS-SVM network is more suitable for the prediction of the DH.",
101,Investigation of dynamic elastic deformation of parts processed by fused deposition modeling additive manufacturing,"Fused deposition modeling (FDM) has been recognized as an effective technology to manufacture 3D dimensional parts directly from a digital computer aided design (CAD) model in a layer-by-layer style. Although it has become a significantly important manufacturing process, but it is still not well accepted additive manufacturing technology for load-carrying parts under dynamic and cyclic conditions due to many processing parameters affecting the part properties. The purpose of this study is to characterize the FDM manufactured parts by detecting how the individual and interactive FDM process parameters will influence the performance of manufactured products under dynamic and cyclic conditions. Experiments were conducted through fractional factorial design and artificial neural network (ANN). Effect of each parameter on the dynamic modulus of elasticity was investigated using analysis of variance (ANOVA) technique. Furthermore, optimal processing parameters were determined and validated by conducting verification experiment. The results showed that both ANN and fractional factorial models provided good quality predictions, yet the ANN showed the superiority of a properly trained ANN in capturing the nonlinear relationship of the system over fractional factorial for both data fitting and estimation capabilities.",
